budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,genres_parsed,keywords_parsed,num_genres,num_keywords,original_language_index,features,success
200000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 53"," """"name"""": """"Thriller""""}"," {""""id"""": 80",0.0,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764,"""[{""""id"""": 627",0,0.0," """"name"""": """"undercover""""}"," {""""id"""": 4289"," """"name"""": """"secret agent""""}"," {""""id"""": 156095",0.0,0,,,-1,-1,0.0,"(8,[0,1,2],[200000000.0,-1.0,-1.0])",0
200000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}"," {""""id"""": 28"," """"name"""": """"Action""""}]""",http://disney.go.com/disneypictures/pirates/,58.0,"""[{""""id"""": 616"," """"name"""": """"witch""""}"," {""""id"""": 663",0,0.0," """"name"""": """"bondage""""}"," {""""id"""": 911"," """"name"""": """"exotic island""""}"," {""""id"""": 1299",0.0,0,,,-1,-1,9.0,"[200000000.0,-1.0,-1.0,9.0,58.0,0.0,0.0,0.0]",0
255000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 37"," """"name"""": """"Western""""}]""",http://disney.go.com/the-lone-ranger/,57201.0,"""[{""""id"""": 1556"," """"name"""": """"texas""""}"," {""""id"""": 2673",0,0.0," """"name"""": """"survivor""""}"," {""""id"""": 5901"," """"name"""": """"texas ranger""""}"," {""""id"""": 9104",0.0,0,,,-1,-1,19.0,"[255000000.0,-1.0,-1.0,19.0,57201.0,0.0,0.0,0.0]",0
225000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}"," {""""id"""": 878",0.0,http://www.manofsteel.com/,49521,"""[{""""id"""": 83",0,0.0," """"name"""": """"dc comics""""}"," {""""id"""": 9715"," """"name"""": """"superhero""""}"," {""""id"""": 9717",0.0,0,,,-1,-1,10.0,"(8,[0,1,2,3],[225000000.0,-1.0,-1.0,10.0])",0
220000000,"""[{""""id"""": 878"," """"name"""": """"Science Fiction""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}]""",http://marvel.com/avengers_movie/,24428.0,"""[{""""id"""": 242"," """"name"""": """"new york""""}"," {""""id"""": 5539",0,0.0," """"name"""": """"marvel comic""""}"," {""""id"""": 9715"," """"name"""": """"superhero""""}"," {""""id"""": 9717",0.0,0,,,-1,-1,7.0,"[220000000.0,-1.0,-1.0,7.0,24428.0,0.0,0.0,0.0]",0
380000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865.0,"""[{""""id"""": 658"," """"name"""": """"sea""""}"," {""""id"""": 1316",0,0.0," """"name"""": """"mutiny""""}"," {""""id"""": 1938"," """"name"""": """"sword""""}"," {""""id"""": 2569",0.0,0,,,-1,-1,10.0,"[380000000.0,-1.0,-1.0,10.0,1865.0,0.0,0.0,0.0]",0
225000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 35"," """"name"""": """"Comedy""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}]""",http://www.sonypictures.com/movies/meninblack3/,41154.0,"""[{""""id"""": 4379"," """"name"""": """"time travel""""}"," {""""id"""": 5455",0,0.0," """"name"""": """"alien""""}"," {""""id"""": 174915"," """"name"""": """"fictional government agency""""}"," {""""id"""": 185668",0.0,0,,,-1,-1,1.0,"[225000000.0,-1.0,-1.0,1.0,41154.0,0.0,0.0,0.0]",0
250000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.thehobbit.com/,122917.0,"""[{""""id"""": 417"," """"name"""": """"corruption""""}"," {""""id"""": 603",0,0.0," """"name"""": """"dwarves""""}"," {""""id"""": 606"," """"name"""": """"orcs""""}"," {""""id"""": 609",0.0,0,,,-1,-1,10.0,"[250000000.0,-1.0,-1.0,10.0,122917.0,0.0,0.0,0.0]",0
215000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.theamazingspiderman.com,1930.0,"""[{""""id"""": 1872"," """"name"""": """"loss of father""""}"," {""""id"""": 7002",0,0.0," """"name"""": """"serum""""}"," {""""id"""": 8828"," """"name"""": """"marvel comic""""}"," {""""id"""": 156855",0.0,0,,,-1,-1,10.0,"[215000000.0,-1.0,-1.0,10.0,1930.0,0.0,0.0,0.0]",0
200000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}]""",http://www.robinhoodthemovie.com/,20662,"""[{""""id"""": 4147",0.0," {""""id"""": 4393"," """"name"""": """"archer""""}"," {""""id"""": 10466",0,0.0," """"name"""": """"sherwood forest""""}"," {""""id"""": 18101"," """"name"""": """"bow and arrow""""}"," {""""id"""": 41406",0.0,0,,,-1,-1,547.0,"(8,[0,1,2,3],[200000000.0,-1.0,-1.0,547.0])",0
250000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.thehobbit.com/,57158,"""[{""""id"""": 603",0.0," {""""id"""": 604"," """"name"""": """"dwarves""""}"," {""""id"""": 606",0,0.0," """"name"""": """"hobbit""""}"," {""""id"""": 12554"," """"name"""": """"dragon""""}"," {""""id"""": 177912",0.0,0,,,-1,-1,638.0,"(8,[0,1,2,3],[250000000.0,-1.0,-1.0,638.0])",0
